easting,northing,altitude
317700.43051327707,4159268.865872224,57.589
317700.6537794577,4159268.9719828856,57.121
317700.5926789411,4159269.0066301352,57.298
317700.30879983125,4159268.9573592194,57.908
317699.9530367045,4159268.854159662,58.555
317699.085439655,4159268.7844088897,60.230000000000004
317698.1471775534,4159268.71621081,62.016
317697.2204303551,4159268.7698774785,63.718
317697.0959788131,4159269.138964783,63.738
317696.9168219083,4159269.4315428166,64.106
317697.10524321324,4159269.560622183,63.789
317697.35378981254,4159269.6106692916,63.317
317697.12735419907,4159269.360307502,63.379
317697.0854390819,4159269.0614851266,62.352000000000004
317697.4435091348,4159268.4652328263,61.078
317697.5327408962,4159267.2976038703,60.163000000000004
317697.63963896246,4159266.129586766,58.714
317697.63195013336,4159264.975188893,58.107
317696.69233743555,4159264.0410955157,58.945
317695.7437038808,4159262.696441088,58.312000000000005
317695.2394087234,4159261.4641415766,57.536
317695.107568066,4159260.290268297,57.275
317694.28644244245,4159259.520095866,56.539
317692.85881180933,4159258.4968110113,55.222
317691.0155916299,4159257.0607967596,53.306000000000004
317689.32307788066,4159255.2440169747,52.813
317688.7920941324,4159253.6015448337,51.669000000000004
317688.50442540506,4159252.575416369,50.776
317686.34954896837,4159251.4348925725,54.251
317686.22984178015,4159251.2154907547,52.302
317685.70345421863,4159251.7932386925,49.783
317685.75774314866,4159247.828773,54.492000000000004
317685.5199032419,4159246.657228889,54.538000000000004
317686.2106517956,4159246.3201048276,51.2
317686.0582379778,4159246.623197069,51.338
317685.40724619,4159245.1498860475,52.167
317685.7007822804,4159242.8232009653,55.438
317686.35392818134,4159241.176913853,56.239000000000004
317686.6549669805,4159239.593871478,54.924
317686.94479060953,4159237.5004017535,55.338
317687.1815594517,4159235.8077555434,55.178000000000004
317687.4724904648,4159234.569085053,54.963
317686.75938613963,4159235.0954274205,54.419000000000004
317686.14087666175,4159234.6982582198,53.642
317685.9937504459,4159234.0353946914,53.291000000000004
317686.326916723,4159234.31671592,53.048
317686.8967598439,4159235.3144410755,52.669000000000004
317686.92320337,4159235.7135177995,52.585
317687.19412564323,4159237.1840783525,52.236000000000004
317686.970914415,4159236.67830904,52.062
317687.4024842754,4159238.6227087704,46.158
317687.51249516313,4159237.99860174,42.92
317687.65011261747,4159238.2287116544,42.203
317688.2685263593,4159235.8060756084,43.605000000000004
317689.96280331403,4159226.8431592537,50.067
317689.57851142786,4159220.2128438586,49.461
317687.5571561714,4159218.7141342834,51.919000000000004
317686.5392381558,4159216.227537746,52.998
317685.2773315853,4159217.920505409,55.661
317685.44356734725,4159217.039826092,55.727000000000004
317685.31354373053,4159215.144308751,56.756
317685.3180442903,4159214.5447232504,57.591
317685.3557392855,4159213.4448362133,58.401
317684.7574446227,4159212.3589234203,58.583
317684.65748569084,4159213.0383176054,59.19
317684.24950822577,4159212.569912924,60.213
317682.51146752015,4159209.888209267,60.457
317681.6732689481,4159208.3413006375,61.193
317680.3490004799,4159206.7939708554,62.403
317676.5057087297,4159202.415575274,62.46
317676.26488526,4159201.510535426,62.766
317676.29745899275,4159200.177627145,62.925000000000004
317675.18816665374,4159198.3591358117,62.953
317675.3509112723,4159196.1130356565,66.224
317675.3813461206,4159194.2806021804,66.47200000000001
317674.8334772573,4159192.272148788,65.973
317674.2291181466,4159188.8994393838,64.876
317671.80595789483,4159184.8006851543,66.186
317669.6794121997,4159180.9285473824,67.411
317668.31856274506,4159177.7167823436,66.57000000000001
317667.660115103,4159175.100170942,65.127
317667.1181507003,4159172.958368937,64.557
317666.39488853177,4159170.6096203774,65.831
317666.2392810728,4159169.1587295574,65.068
317665.45188080857,4159167.510791545,65.08200000000001
317664.7349023403,4159165.8502045,65.214
317664.25775065355,4159163.4405398946,66.422
317662.26122543425,4159161.463920896,69.777
317662.43762301654,4159159.8392103044,69.121
317663.06269926124,4159158.926244436,67.665
317663.25684200996,4159158.511218837,67.06400000000001
317663.51214116625,4159157.661886777,66.72200000000001
317663.82092755154,4159156.833582575,66.403
317663.8724640397,4159156.765840455,66.24
317663.9338091181,4159156.742289215,66.081
317664.0027682725,4159156.6630626344,65.809
317664.1301464871,4159156.4271298577,65.443
317664.4862138899,4159156.1417653305,64.935
317664.6913845461,4159155.826411883,64.528
317664.86536739045,4159155.7004710515,63.867000000000004
317665.0191901693,4159155.863614947,63.204
317665.1939045205,4159155.770962864,62.657000000000004
